Date,target,target_value,daily_order_count,daily_customer_count,daily_total_quantity,daily_gross_item_revenue,daily_estimated_cogs,gross_margin_rate,revenue_per_order,business_validity,check_reason
2012-08-02,Revenue,9692427.0,413,410,2038,9692427.0,7537501.148537517,0.22233088265715076,23468.346246973364,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2012-08-30,Revenue,10086534.1,403,400,2057,10086534.1,7950911.718327374,0.2117300510588667,25028.6205955335,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-03-30,Revenue,11636994.38,544,538,2868,11636994.38,10600188.309962846,0.0890956922503902,21391.533786764707,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-04-01,Revenue,10313848.23,516,509,2659,10313848.23,9188774.521137936,0.10908379538953142,19988.07796511628,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-04-29,Revenue,13160942.22,584,576,3034,13160942.22,10423989.713000402,0.2079602253583938,22535.859965753425,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-04-30,Revenue,11190466.86,530,524,2645,11190466.86,8842281.64517879,0.20983800223684315,21114.08841509434,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-05-01,Revenue,13051232.31,569,563,2899,13051232.31,10395426.50719429,0.20349080737495512,22937.139384885766,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-05-02,Revenue,11179665.29,512,510,2561,11179665.29,8989067.99047802,0.19594480185014546,21835.28376953125,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-05-30,Revenue,12828293.48,551,548,2716,12828293.48,10036927.65175384,0.21759447851359884,23281.839346642468,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-05-31,Revenue,13809349.18,570,564,2903,13809349.18,11231361.13732176,0.18668425328354243,24226.92838596491,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-06-01,Revenue,13162597.88,566,560,2817,13162597.88,10314262.163040776,0.21639616631667552,23255.473286219083,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-06-02,Revenue,12079925.72,511,508,2638,12079925.72,9610953.035842564,0.2043864124025426,23639.77636007828,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2013-07-31,Revenue,10104475.36,530,522,2589,10104475.36,10851542.123203382,-0.07393424531048585,19065.047849056602,review_negative_margin_day,"Target cao nhưng margin âm, cần kiểm tra COGS/discount/refund"
2013-08-01,Revenue,10998208.4,561,556,2842,10998208.4,12167214.066204641,-0.10629055455977719,19604.649554367203,review_negative_margin_day,"Target cao nhưng margin âm, cần kiểm tra COGS/discount/refund"
2014-03-30,Revenue,12784107.1,577,575,3008,12784107.1,11757805.119922992,0.08027951987354678,22156.164818024263,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-03-31,Revenue,12312523.89,583,576,2947,12312523.89,11321960.710116314,0.0804516757774185,21119.251955403088,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-04-01,Revenue,12163891.23,554,552,2769,12163891.23,11150883.990606213,0.08327986668456917,21956.48236462094,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-04-02,Revenue,13046471.25,598,582,2951,13046471.25,11843249.217034064,0.09222585992361723,21816.841555183946,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-04-22,Revenue,10131097.46,397,393,1900,10131097.46,8109722.273105757,0.1995218383774191,25519.137178841313,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-04-28,Revenue,11814441.72,448,445,2371,11814441.72,9367036.906742595,0.20715365719371465,26371.521696428572,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-04-29,Revenue,17347427.27,700,690,3503,17347427.27,13752034.858535614,0.20725796131266905,24782.038957142857,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-04-30,Revenue,13811054.06,549,539,2714,13811054.06,10868835.132885752,0.2130336263414785,25156.746921675775,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-05-01,Revenue,13289875.45,498,497,2583,13289875.45,10604429.388932528,0.20206706000393695,26686.496887550198,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-05-27,Revenue,11197544.52,466,461,2398,11197544.52,8926851.08415348,0.20278494414059267,24029.06549356223,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-05-28,Revenue,14237002.33,613,600,3057,14237002.33,11276884.863677204,0.20791718659499583,23225.126150081567,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-05-29,Revenue,12708438.64,558,552,2763,12708438.64,10157319.356332565,0.20074214876171453,22774.97964157706,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-05-30,Revenue,13573669.01,598,592,3022,13573669.01,10729950.951083777,0.2095025344956456,22698.443160535116,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-05-31,Revenue,12424970.9,513,507,2529,12424970.9,9985304.330112347,0.19635189407163925,24220.216179337232,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-06-01,Revenue,11536710.05,465,462,2310,11536710.05,9170211.021085147,0.20512772009902433,24810.12913978495,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-06-02,Revenue,10120772.07,379,377,1903,10120772.07,8076952.838465493,0.2019430154008004,26703.88408970976,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-06-29,Revenue,10967240.25,541,536,2783,10967240.25,10676762.03008293,0.02648599040218898,20272.163123844733,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-07-01,Revenue,9836345.7,470,467,2387,9836345.7,9652958.13309782,0.018643871981847734,20928.395106382977,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-07-30,Revenue,9849002.97,392,389,1854,9849002.97,7950504.565884733,0.1927604657834721,25125.007576530614,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-07-31,Revenue,12499623.55,513,510,2647,12499623.55,10113088.372951299,0.19092856440464573,24365.73791423002,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-08-01,Revenue,10268362.3,400,398,1985,10268362.3,8266400.627748155,0.19496406647046344,25670.90575,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-08-28,Revenue,13900846.53,587,576,3025,13900846.53,11188888.434855668,0.19509301783507998,23681.169557069847,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-08-29,Revenue,12683009.27,569,565,2823,12683009.27,10136587.403716844,0.2007742654594779,22289.998717047452,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-08-30,Revenue,11574198.37,468,466,2471,11574198.37,9088009.396119095,0.21480442018724438,24731.193098290598,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-08-31,Revenue,11951398.65,460,455,2468,11951398.65,9415326.580648033,0.2121987680496291,25981.30141304348,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2014-09-01,Revenue,10306541.25,387,386,1943,10306541.25,8432677.93454297,0.1818130131677298,26631.88953488372,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-03-30,Revenue,14251354.04,613,605,3058,14251354.04,12890205.46453143,0.09551012319107317,23248.538401305057,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-03-31,Revenue,14813965.34,624,616,3234,14813965.34,13306811.361276446,0.10173872730284114,23740.32907051282,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-01,Revenue,13697879.88,627,618,3217,13697879.88,12323133.985012027,0.1003619466693703,21846.69837320574,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-02,Revenue,11638587.41,497,493,2491,11638587.41,10494545.990351802,0.09829727437687388,23417.680905432597,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-03,Revenue,10239965.04,455,448,2286,10239965.040000001,9205352.560097309,0.10103671994567656,22505.41767032967,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-14,Revenue,9764966.49,443,440,2178,9764966.49,8525033.474227067,0.12697770353536558,22042.81374717833,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-21,Revenue,11246554.8,429,423,2111,11246554.8,8986101.871483779,0.20099070072552364,26215.745454545457,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-25,Revenue,9981817.81,381,379,1895,9981817.81,7741342.202851589,0.22445567056487883,26198.99687664042,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-27,Revenue,11233528.64,431,425,2239,11233528.64,8990933.603709199,0.19963406974498094,26063.871554524365,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-28,Revenue,14371525.01,555,553,2825,14371525.01,11368208.455786794,0.2089768864410861,25894.63965765766,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-29,Revenue,15294818.22,628,622,3126,15294818.22,12456433.337629857,0.18557820296866534,24354.80608280255,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-04-30,Revenue,14911130.64,546,539,2893,14911130.64,11744026.425803896,0.21239866288234738,27309.76307692308,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-05-01,Revenue,11462217.29,469,464,2429,11462217.29,9026019.092908975,0.21254161724236512,24439.695714285714,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-05-20,Revenue,10886447.11,429,424,2160,10886447.11,8610088.682048697,0.20910021488176778,25376.33358974359,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-05-27,Revenue,11264269.11,426,421,2082,11264269.11,8911794.910272233,0.20884392738021149,26441.946267605632,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-05-28,Revenue,10886440.76,390,385,2029,10886440.76,8702126.276018599,0.20064542012903036,27913.950666666668,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-05-30,Revenue,14386454.27,581,573,2993,14386454.27,11671007.327411635,0.18875025694569558,24761.539191049913,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-05-31,Revenue,12847323.1,526,523,2774,12847323.1,10142347.130292468,0.21054782766380328,24424.568631178707,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-06-01,Revenue,12707400.56,485,479,2654,12707400.56,9938849.849344226,0.21786916190513167,26200.825896907216,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-06-02,Revenue,10370270.22,448,436,2156,10370270.22,8221123.595396328,0.20724113975884428,23147.924598214286,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-06-03,Revenue,12915899.82,499,492,2606,12915899.82,10182209.970029125,0.2116530700994551,25883.566773547096,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-06-29,Revenue,10266326.47,525,523,2649,10266326.47,10003747.478286646,0.025576723160645815,19554.90756190476,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-06-30,Revenue,10954727.42,557,551,2706,10954727.42,10628217.871844511,0.029805355941937325,19667.374183123877,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2015-07-30,Revenue,10296776.67,471,468,2354,10296776.67,9762134.91264794,0.051923216083504684,21861.521592356687,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-03-30,Revenue,14545392.64,604,596,3061,14545392.64,13412468.297435874,0.07788887987007272,24081.775894039736,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-03-31,Revenue,14231299.73,654,647,3211,14231299.73,12932629.87010884,0.0912544802399437,21760.397140672783,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-01,Revenue,12298083.49,524,519,2634,12298083.49,11254792.813500427,0.08483359873498465,23469.624980916033,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-02,Revenue,13123488.4,547,544,2732,13123488.4,12292938.786322668,0.0632872590492023,23991.752102376602,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-03,Revenue,10576481.39,434,429,2242,10576481.39,9627706.25996325,0.08970612200925933,24369.772788018436,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-20,Revenue,11470503.55,455,447,2174,11470503.55,9220652.391714346,0.1961423184425064,25209.897912087912,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-21,Revenue,9681621.65,358,357,1731,9681621.65,7780628.468405767,0.19635069916205625,27043.63589385475,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-25,Revenue,11068078.01,381,380,1904,11068078.01,8923524.576486172,0.1937602380523879,29050.073517060366,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-26,Revenue,11387120.36,462,461,2199,11387120.36,9133066.3179997,0.19794767849454778,24647.446666666667,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-27,Revenue,16379722.53,593,586,2887,16379722.53,13128158.811691618,0.19851152631216146,27621.791787521077,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-28,Revenue,17388183.19,677,669,3231,17388183.19,13978683.939638082,0.19608139693172866,25684.17014771049,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-29,Revenue,16966030.5,655,650,3303,16966030.5,13610990.419788599,0.1977504449258181,25902.336641221373,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-04-30,Revenue,12874790.56,498,496,2428,12874790.56,10476104.292287573,0.18630876042771147,25852.993092369477,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-01,Revenue,11553720.73,455,451,2218,11553720.73,9387796.081225516,0.1874655533585846,25392.792813186814,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-12,Revenue,10736290.28,401,399,1912,10736290.28,8789857.021166839,0.1812947684197674,26773.791221945135,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-13,Revenue,9817523.43,350,350,1725,9817523.43,7817935.301438292,0.20367541205857861,28050.066942857142,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-19,Revenue,11212790.37,402,399,1898,11212790.37,9063577.588348283,0.19167510575692673,27892.513358208955,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-20,Revenue,10058131.11,366,365,1859,10058131.11,8217262.678124861,0.18302291050568736,27481.232540983605,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-25,Revenue,9916196.12,376,371,1860,9916196.12,7860116.287509604,0.20734561974355134,26372.862021276593,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-26,Revenue,12748857.56,461,459,2197,12748857.56,10440320.847151734,0.18107792789552515,27654.788633405642,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-27,Revenue,10645860.16,387,382,1879,10645860.16,8560911.947164249,0.19584591368519355,27508.682583979327,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-30,Revenue,15902645.06,614,605,3222,15902645.06,12868500.258959169,0.19079497709672208,25900.07338762215,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-05-31,Revenue,15273734.62,582,577,2953,15273734.62,12146387.513960466,0.20475327009446231,26243.530274914086,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-01,Revenue,15027967.48,559,556,2818,15027967.48,12020718.26180238,0.20011017617666554,26883.6627549195,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-02,Revenue,15450407.81,569,566,2892,15450407.81,12454831.834587526,0.19388329530442344,27153.61653778559,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-03,Revenue,14905219.23,561,558,2775,14905219.23,12099283.962061454,0.1882518617607746,26569.01823529412,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-15,Revenue,9864183.86,350,346,1743,9864183.86,7853426.550315386,0.20384426512504195,28183.382457142856,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-16,Revenue,10058421.18,342,339,1677,10058421.18,8220535.812833216,0.18272105901216598,29410.588245614035,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-22,Revenue,10283795.21,356,353,1789,10283795.21,8167871.691526548,0.20575317543687263,28887.065196629217,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-23,Revenue,9872888.2,351,348,1718,9872888.2,7950198.342688889,0.19474441734283993,28127.886609686608,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-29,Revenue,13343751.12,632,625,3130,13343751.12,13303063.474682994,0.003049191313154416,21113.530253164554,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-06-30,Revenue,11824115.33,552,543,2726,11824115.33,11686500.638081584,0.011638476635190218,21420.498786231885,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-07-01,Revenue,10173764.85,466,464,2334,10173764.85,10138330.52354963,0.0034829122279153206,21832.113412017166,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-07-28,Revenue,10561338.25,387,387,1889,10561338.25,8364736.753206626,0.2079851480942768,27290.279715762274,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-07-29,Revenue,9786083.49,330,329,1632,9786083.49,8009568.05080841,0.18153487468355947,29654.798454545456,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-07-31,Revenue,11015269.56,396,391,2010,11015269.56,8901256.982459093,0.19191655442338534,27816.337272727273,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-01,Revenue,10793582.2,382,379,1829,10793582.2,8684114.270301752,0.1954372414007279,28255.450785340312,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-02,Revenue,9744357.22,328,325,1603,9744357.22,7715286.945854648,0.20823028386473708,29708.40615853659,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-03,Revenue,9904285.99,354,353,1703,9904285.99,7903743.506856422,0.2019875518558204,27978.209011299437,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-28,Revenue,15158669.18,567,558,2837,15158669.18,12249721.234382162,0.19189995608836152,26734.86627865961,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-29,Revenue,14043471.1,525,520,2775,14043471.1,11328872.117021613,0.19329971633579968,26749.46876190476,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-30,Revenue,13812380.3,498,494,2527,13812380.3,11037531.676860599,0.20089575871292806,27735.70341365462,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-08-31,Revenue,12534594.92,470,467,2448,12534594.92,10091516.934270242,0.19490681634249415,26669.350893617022,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2016-09-01,Revenue,12403544.62,476,471,2511,12403544.62,10116739.784605563,0.18436704265268325,26057.866848739493,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2017-03-30,Revenue,17516038.82,725,718,3435,17516038.82,16224964.48809123,0.07370812221116098,24160.053544827588,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
2017-03-31,Revenue,16556662.03,656,650,3350,16556662.03,15209810.103993393,0.08134803546509306,25238.81407012195,likely_valid_high_volume_day,Target cao đi cùng số đơn cao
